ax ay az mx my mz clock(s)
-400 -208 -16464 -58 142 356 890
-400 -208 -16464 -58 142 356 890
-368 -192 -16448 -58 142 356 900
-352 -240 -16496 -58 142 356 900
-352 -240 -16480 -58 142 356 900
-400 -256 -16480 -58 142 356 900
-352 -240 -16480 -58 142 356 900
-400 -240 -16480 -67 143 352 900
-400 -256 -16512 -67 143 352 900
-400 -240 -16416 -67 143 352 900
-400 -240 -16416 -67 143 352 900
-352 -240 -16448 -67 143 352 900
-400 -256 -16512 -61 146 354 900
-400 -256 -16512 -61 146 354 900
-416 -240 -16496 -61 146 354 910
-384 -256 -16480 -61 146 354 910
-384 -256 -16464 -61 146 354 910
-368 -256 -16432 -66 150 350 910
-400 -192 -16496 -66 150 350 910
-336 -240 -16496 -66 150 350 920
-336 -240 -16528 -66 150 350 920
-352 -256 -16496 -66 150 350 920
-352 -256 -16464 -60 140 351 920
-400 -256 -16464 -60 140 351 920
-368 -256 -16448 -60 140 351 920
-336 -224 -16448 -60 140 351 930
-336 -224 -16448 -60 140 351 930
-432 -256 -16512 -60 140 351 930
-432 -240 -16512 -60 140 351 930
-432 -240 -16512 -60 140 351 930
-368 -256 -16480 -60 140 351 930
-336 -256 -16432 -62 140 351 940
-416 -256 -16448 -62 141 353 950
-416 -256 -16448 -62 141 353 950
-400 -192 -16496 -62 141 353 950
-432 -224 -16512 -62 141 353 950
-432 -224 -16512 -69 141 352 950
-416 -224 -16432 -69 141 352 950
-400 -256 -16528 -69 141 352 950
-400 -256 -16528 -69 141 352 950
-400 -256 -16464 -69 141 352 950
-352 -224 -16544 -69 141 352 950
-384 -224 -16528 -69 141 352 950
-384 -224 -16528 -69 141 352 950
-416 -240 -16528 -69 141 352 950
-400 -240 -16432 -69 141 352 950
-400 -256 -16528 -64 142 353 950
-400 -256 -16480 -64 142 353 960
-384 -256 -16480 -64 142 353 960
-384 -256 -16464 -64 142 353 960
-384 -256 -16448 -64 142 353 960
-384 -256 -16496 -65 138 357 960
-400 -208 -16496 -65 138 357 970
-352 -256 -16432 -65 138 357 970
-400 -240 -16528 -63 138 348 970
-400 -240 -16480 -63 138 348 970
-384 -256 -16480 -63 141 345 970
-400 -240 -16432 -63 141 345 970
-416 -256 -16448 -63 141 345 980
-416 -256 -16448 -63 141 345 980
-384 -256 -16464 -63 141 345 980
-352 -256 -16496 -63 141 345 980
-352 -256 -16496 -63 141 345 980
-320 -256 -16496 -63 141 345 990
-400 -256 -16464 -63 141 345 990
-400 -256 -16496 -63 141 345 990
-400 -240 -16432 -59 137 353 990
-384 -256 -16528 -59 137 353 990
-416 -256 -16528 -59 137 353 990
-368 -256 -16448 -59 137 353 990
-368 -224 -16448 -59 137 353 990
-352 -224 -16448 -59 137 354 990
-352 -224 -16464 -59 137 354 990
-352 -224 -16512 -59 137 354 990
-432 -240 -16512 -59 137 354 990
-432 -256 -16528 -59 137 354 990
-368 -192 -16496 -62 142 353 990
-368 -256 -16448 -62 142 353 990
-368 -256 -16448 -62 142 353 990
-352 -240 -16496 -62 142 353 990
-384 -256 -16464 -62 142 
