ax ay az mx my mz clock(s)
-1008 -3248 -16160 -44 203 316 530
-1008 -3248 -16160 -44 203 316 530
-1040 -3264 -16160 -44 203 316 530
-1024 -3264 -16224 -44 203 316 530
-1024 -3216 -16128 -44 203 316 540
-1024 -3216 -16176 -40 203 318 540
-992 -3248 -16144 -40 203 318 540
-1040 -3264 -16176 -40 203 318 540
-1040 -3264 -16176 -40 203 318 540
-1008 -3232 -16176 -38 203 318 540
-1008 -3232 -16176 -38 195 325 550
-1008 -3232 -16176 -38 195 325 550
-1008 -3264 -16176 -38 195 325 550
-1008 -3248 -16160 -38 195 325 550
-1008 -3248 -16128 -38 195 325 550
-1008 -3248 -16160 -42 200 316 550
-1024 -3200 -16208 -42 200 316 550
-1024 -3248 -16208 -42 200 316 550
-1008 -3248 -16144 -42 200 316 550
-992 -3280 -16144 -42 200 316 550
-992 -3280 -16144 -42 200 316 550
-1040 -3280 -16160 -42 200 316 560
-1024 -3232 -16096 -42 200 316 560
-1024 -3232 -16096 -42 200 316 560
-992 -3248 -16176 -42 200 316 560
-1024 -3232 -16176 -44 199 325 560
-1280 -3232 -16144 -44 199 325 560
-1008 -3248 -16160 -42 203 321 560
-1008 -3232 -16160 -42 203 321 560
-1008 -3232 -16160 -42 203 321 560
-1008 -3232 -16208 -42 203 321 560
-1024 -3232 -16176 -42 203 321 560
-1040 -3232 -16192 -42 203 321 570
-1040 -3200 -16192 -42 203 321 570
-976 -3248 -16160 -47 196 311 570
-1232 -3248 -16208 -47 196 311 570
-1040 -3248 -16208 -47 196 311 570
-992 -3168 -16128 -47 196 311 570
-1056 -3232 -16128 -47 196 311 580
-1056 -3232 -16384 -39 201 319 580
-1008 -3264 -16176 -39 201 319 580
-1040 -3248 -16192 -39 201 319 590
-1008 -3248 -16160 -39 201 319 590
-1008 -3248 -16160 -39 201 319 590
-1040 -3296 -16192 -43 195 318 590
-1008 -3264 -16160 -43 195 318 590
-1008 -3264 -16160 -43 195 318 590
-960 -3280 -16160 -43 195 318 590
-1024 -3280 -16112 -43 195 318 590
-1024 -3280 -16112 -33 202 318 590
-960 -3232 -16144 -33 202 316 600
-1056 -3248 -16208 -33 202 316 600
-1040 -3280 -16096 -33 202 316 600
-1040 -3280 -16096 -33 202 316 600
-1024 -3232 -16192 -33 202 316 600
-1008 -3264 -16192 -33 202 316 610
-1008 -3264 -16128 -33 202 316 610
-1008 -3264 -16192 -33 202 316 610
-1024 -3216 -16192 -33 202 316 610
-1040 -3200 -16160 -44 193 323 610
-1024 -3264 -16160 -44 193 323 610
-1024 -3264 -16176 -44 193 323 610
-1024 -3296 -16144 -44 193 323 610
-1024 -3296 -16144 -44 193 323 610
-992 -3232 -16144 -46 205 320 610
-992 -3232 -16160 -46 205 320 610
-1024 -3216 -16160 -46 205 320 620
-960 -3264 -16144 -46 205 320 620
-960 -3296 -16208 -46 205 320 620
-960 -3296 -16208 -46 205 320 620
-1024 -3248 -16176 -46 205 320 620
-1072 -3232 -16176 -46 205 320 620
-1072 -3232 -16176 -46 205 320 630
-944 -3216 -16176 -46 205 320 630
-992 -3216 -16160 -45 207 325 630
-992 -3280 -16176 -45 207 325 630
-992 -3280 -16176 -45 207 325 630
-992 -3280 -16160 -45 207 325 640
-1008 -3264 -16176 -41 205 325 640
-1008 -3264 -16176 -41 205 316 640
-960 -3200 -16176 -41 205 316 640
-992 -3200 -16192 -41 205 316 640
-992 -3200 -16192 -41 205 316 640
-1024 -3296 -16192 -41 205 316 640
-1024 -3280 -16112 -41 205 316 640
-1024 -3280 -16128 -41 205 316 640
-1024 -3280 -16112 -41 205 316 640
-1024 -3232 -16176 -41 205 316 640
-1024 -3248 -16176 -41 198 323 650
-1008 -3232 -16128 -41 198 323 650
-1024 -3232 -16176 -41 198 323 650
-1024 -3232 -16176 -41 198 323 650
-992 -3248 -16208 -41 198 323 650
-1008 -3248 -16160 -44 200 321 650
-1008 -3248 -16160 -44 200 321 660
-1024 -3200 -16160 -44 200 321 660
-992 -3248 -16128 -44 200 321 660
-992 -3248 -16160 -44 200 321 660
-976 -3184 -16160 -38 205 319 660
-992 -3264 -16176 -38 205 319 660
-1008 -3232 -16160 -44 202 322 670
-1008 -3232 -16176 -44 202 322 670
-976 -3232 -16176 -44 202 322 670
-976 -3232 -16192 -44 202 322 670
-1008 -3216 -16160 -44 202 322 670
-1008 -3216 -16160 -44 202 322 680
-1024 -3216 -16160 -44 202 322 680
-976 -3216 -16160 -44 202 322 680
-976 -3216 -16160 -44 202 322 680
-976 -3216 -16160 -44 202 322 680
-976 -3216 -16160 -44 202 322 680
-976 -3216 -16160 -44 202 322 690
-976 -3216 -16160 -44 202 322 690
-1008 -3248 -16128 -40 201 322 690
-1008 -3280 -16304 -40 201 322 690
-1008 -3280 -16304 -40 201 322 690
-1024 -3280 -16032 -40 201 322 690
-1008 -3264 -16032 -40 201 322 700
-1008 -3264 -16208 -37 200 319 700
-1008 -3264 -16208 -37 200 319 700
-1040 -3264 -16208 -37 200 319 700
-992 -3232 -16192 -37 200 319 700
-1008 -3248 -16176 -37 200 319 710
-1008 -3200 -16176 -40 196 318 710
-976 -3200 -16176 -40 196 318 710
-1008 -3232 -16176 -40 196 318 710
-1008 -3248 -16144 -40 196 318 710
-1008 -3248 -16144 -40 196 318 710
-1040 -3216 -16128 -40 196 318 710
-1024 -3248 -16112 -40 196 318 710
-1024 -3248 -16112 -40 196 318 710
-992 -3248 -16208 -40 196 318 710
-992 -3216 -16208 -40 196 318 710
-976 -3232 -16160 -43 207 317 710
-992 -3232 -16160 -43 207 317 720
-1008 -3232 -16096 -43 207 317 720
-1040 -3344 -16208 -43 207 317 720
-1024 -3232 -16224 -47 201 318 720
-1024 -3232 -16224 -47 201 318 720
-992 -3248 -16224 -47 201 318 730
-976 -3248 -16128 -47 201 318 730
-976 -3248 -16208 -47 201 318 730
-976 -3248 -16144 -41 194 313 730
-1024 -3264 -16144 -41 194 313 730
-1008 -3232 -16144 -41 194 313 740
-976 -3248 -16208 -41 194 313 740
-976 -3248 -16160 -41 194 313 740
-1040 -3264 -16160 -41 200 316 740
-1040 -3232 -16192 -41 200 316 740
-1008 -3248 -16128 -41 200 316 740
-1040 -3248 -16128 -41 200 316 740
-1040 -3200 -16128 -41 200 316 740
-1040 -3312 -16144 -35 197 315 740
-1040 -3312 -16144 -35 197 315 740
-1024 -3248 -16096 -35 197 315 740
-960 -3264 -16144 -35 197 315 750
-960 -3264 -16112 -35 197 315 750
-1040 -3248 -16112 -36 192 320 750
-992 -3248 -16176 -36 192 320 750
-1024 -3232 -16192 -36 192 320 750
-1024 -3232 -16192 -36 192 320 750
-960 -3216 -16192 -36 192 320 760
-1040 -3264 -16192 -36 192 320 760
-1040 -3264 -16192 -36 192 320 760
-960 -3264 -16192 -36 192 320 760
-1008 -3264 -16192 -36 192 320 760
-1008 -3216 -16160 -36 192 320 760
-1008 -3216 -16128 -38 196 316 770
-992 -3216 -16208 -38 196 316 770
-1008 -3248 -16208 -38 196 316 770
-1008 -3248 -16208 -38 196 316 770
-1040 -3280 -16160 -38 196 316 770
-1008 -3248 -16160 -41 202 325 780
-1008 -3248 -16192 -41 202 325 780
-960 -3264 -16128 -42 206 316 780
-992 -3264 -16128 -42 206 316 780
-992 -3232 -16128 -44 196 322 780
-1008 -3248 -16208 -44 196 322 780
-992 -3216 -16128 -44 196 322 780
-992 -3216 -16128 -44 196 322 780
-1024 -3248 -16160 -44 196 322 780
-960 -3248 -16192 -42 193 320 780
-1216 -3248 -16144 -42 193 320 780
-1040 -3296 -16144 -42 193 320 780
-976 -3296 -16128 -42 193 320 780
-1008 -3296 -16176 -42 193 320 780
-1008 -3280 -16176 -41 202 315 780
-1056 -3184 -16128 -41 202 315 780
-800 -3280 -16160 -41 202 315 780
-960 -3280 -16160 -41 202 315 780
-1008 -3248 -16112 -41 202 315 790
-1008 -3296 -16144 -38 201 319 790
-1008 -3296 -16208 -38 201 319 790
-1008 -3248 -16208 -38 201 319 790
-992 -3264 -16176 -38 201 319 790
-960 -3200 -16160 -38 201 319 800
-960 -3200 -16160 -38 201 319 800
-992 -3296 -16208 -38 201 319 800
-1024 -3248 -16160 -38 201 319 800
-1024 -3248 -16160 -38 201 319 800
-976 -3216 -16160 -38 201 319 800
-1040 -3216 -16144 -37 199 319 810
-1040 -3264 -16144 -37 199 319 810
-1040 -3168 -16192 -37 199 319 810
-960 -3232 -16144 -37 199 319 810
-992 -3248 -16112 -37 199 319 810
-992 -3248 -16112 -37 199 319 810
-992 -3264 -16160 -37 199 319 810
-1008 -3296 -16144 -37 199 319 810
-1008 -3296 -16144 -37 199 319 810
-976 -3264 -16144 -37 199 319 810
-960 -3184 -16208 -39 199 323 810
-960 -3184 -16208 -39 199 323 820
-1024 -3232 -16128 -39 199 323 820
-1040 -3216 -16160 -39 199 323 820
-1040 -3216 -16160 -39 199 323 820
-1024 -3248 -16112 -39 199 323 820
-976 -3280 -16176 -39 199 323 820
-1040 -3232 -16128 -39 199 323 830
-1040 -3232 -16128 -39 199 323 830
-1040 -3232 -16096 -43 199 317 830
-1008 -3200 -16192 -43 199 317 830
-976 -3200 -16192 -43 199 317 830
-976 -3216 -16176 -43 199 317 840
-976 -3264 -16128 -43 199 317 840
-1008 -3264 -16128 -36 199 318 840
-1024 -3280 -16080 -36 199 318 840
-992 -3232 -16160 -36 199 318 840
-992 -3264 -16160 -36 199 318 840
-992 -3264 -16160 -36 199 318 850
-960 -3200 -16208 -37 194 321 850
-1040 -3264 -16176 -37 194 321 850
-1040 -3264 -16176 -37 194 321 850
-1008 -3280 -16096 -37 194 321 850
-1024 -3200 -16144 -37 194 321 850
-1024 -3200 -16144 -37 194 321 860
-1040 -3280 -16144 -37 194 321 860
-992 -3248 -16208 -37 194 321 860
-1024 -3248 -16128 -37 194 321 860
-1024 -3248 -16176 -37 194 321 860
-976 -3248 -16144 -43 198 313 860
-976 -3216 -16160 -43 198 313 860
-976 -3216 -16160 -43 198 313 860
-1040 -3248 -16144 -43 198 313 860
-1008 -3264 -16208 -43 198 313 860
-1008 -3264 -16208 -43 198 313 860
-976 -3248 -16144 -43 198 313 870
-976 -3280 -16240 -41 198 314 870
-992 -3264 -16208 -41 198 314 870
-992 -3264 -16208 -41 198 314 870
-1072 -3248 -16192 -41 197 324 870
-992 -3264 -16192 -41 197 324 870
-992 -3280 -16128 -41 197 324 880
-992 -3280 -16128 -41 197 324 880
-1040 -3280 -16144 -41 197 324 880
-1040 -3248 -16144 -41 197 324 880
-1040 -3248 -16144 -41 197 324 880
-1040 -3264 -16128 -41 197 324 890
-944 -3200 -16240 -41 197 324 890
-944 -3200 -16240 -41 197 324 890
-1008 -3232 -16208 -41 197 324 890
-960 -3216 -16208 -41 197 324 890
-1040 -3232 -16208 -41 197 324 890
-1040 -3232 -16192 -41 197 324 900
-1040 -3232 -16224 -39 197 319 900
-1040 -3232 -16224 -39 197 319 900
-1040 -3216 -16112 -39 197 319 900
-960 -3248 -16256 -39 197 319 900
-960 -3248 -16256 -39 197 319 900
-1008 -3200 -16080 -42 199 319 900
-960 -3248 -16176 -42 199 319 900
-960 -3248 -16240 -42 199 319 900
-992 -3248 -16240 -42 199 319 900
-1024 -3216 -16080 -42 199 319 900
-1008 -3216 -16144 -42 199 319 910
-1008 -3216 -16144 -42 199 319 910
-976 -3280 -16144 -42 199 319 910
-1024 -3232 -16112 -42 199 319 910
-1024 -3232 -16112 -42 199 319 910
-1024 -3264 -16112 -45 204 317 910
-976 -3264 -16144 -45 204 317 920
-976 -3264 -16144 -45 204 317 920
-1024 -3232 -16144 -45 204 317 920
-1008 -3248 -16176 -45 204 317 920
-1024 -3248 -16160 -43 201 322 920
-960 -3312 -16080 -43 201 322 920
